,0
0,1.08
1,-0.4
2,0.22
3,0.14
4,0.69
5,0.44
6,-0.43
7,1.38
8,0.75
9,0.88
10,0.98
11,0.83
12,0.61
13,-1.17
14,-0.67
15,-0.66
16,-0.12
17,-0.73
18,-0.27
19,-0.28
20,-0.24
21,1.17
22,1.38
23,0.89
24,-0.3
25,0.88
26,0.08
27,-1.34
28,0.39
29,0.52
30,0.0
31,-1.82
32,-0.79
33,-0.62
34,0.37
35,0.82
36,-0.23
37,-1.89
38,0.38
39,0.16
40,1.14
41,0.1
42,0.54
43,0.87
44,-1.3
45,0.98
46,-0.15
47,0.96
48,0.92
49,0.41
50,0.88
51,0.63
52,-0.48
53,1.53
54,0.46
55,0.18
56,-0.1
57,-0.06
58,-1.4
59,-0.47
60,-0.03
61,-0.18
62,0.34
63,-1.0
64,-0.42
65,-0.89
66,0.36
67,0.0
68,0.06
69,0.11
70,0.48
71,1.26
72,0.62
73,0.85
74,0.32
75,-0.22
76,-0.37
77,0.74
78,1.16
79,-0.42
80,-0.01
81,0.48
82,0.49
83,0.53
84,0.0
85,0.06
86,-0.89
87,-0.05
88,0.97
89,0.59
90,0.96
91,1.64
92,-0.31
93,-1.0
94,0.22
95,0.47
96,-0.23
97,0.35
98,0.36
99,0.66
100,0.16
101,0.99
102,-0.18
103,0.6
104,0.08
105,-1.42
106,0.0
107,-0.72
108,-0.48
109,-0.01
110,0.32
111,-1.39
112,0.3
113,-0.34
114,-0.79
115,0.58
116,0.41
117,-0.65
118,0.19
119,0.33
120,-1.4
121,0.56
122,-1.3
123,-1.09
124,0.04
125,0.32
126,-0.12
127,-0.58
128,0.07
129,0.9
130,0.89
131,0.34
132,0.84
133,-0.78
134,0.64
135,0.23
136,-1.42
137,-0.83
138,-0.16
139,-0.3
140,-0.22
141,1.34
142,-2.15
143,1.15
144,0.16
145,0.67
146,-1.26
147,0.77
148,0.56
149,-0.3
150,-0.17
151,0.33
152,0.4
153,-0.3
154,-0.04
155,0.0
156,-0.25
157,-0.78
158,-0.02
159,0.04
160,-0.29
161,0.49
162,0.38
163,-0.87
164,-0.2
165,0.36
166,-0.04
167,-0.07
168,-0.07
169,0.55
170,0.57
171,-1.3
172,-0.06
173,0.39
174,-0.28
175,-1.23
176,-0.55
177,0.18
178,0.41
179,-1.1
180,-0.82
181,-1.3
182,-2.0
183,-1.15
184,-1.54
185,-1.57
186,-1.12
187,-0.72
188,0.54
189,0.2
190,-0.18
191,1.11
192,-0.46
193,-0.29
194,1.6
195,-0.3
196,-2.15
197,-1.06
198,-0.09
199,0.53
200,1.03
201,-2.0
202,-0.22
203,-0.02
204,0.08
205,0.25
206,-0.84
207,-0.25
