,EngDispl,NumCyl,Transmission,FE,AirAspirationMethod,NumGears,TransLockup,TransCreeperGear,DriveDesc,IntakeValvePerCyl,ExhaustValvesPerCyl,CarlineClassDesc,VarValveTiming,VarValveLift
1088,4.7,8,AM6,28.0198,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1089,4.7,8,M6,25.6094,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1090,4.2,8,M6,26.8,NaturallyAspirated,6,1.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1091,4.2,8,AM6,25.0451,NaturallyAspirated,6,1.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1092,5.2,10,AM6,24.8,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1093,5.2,10,M6,23.9,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1094,2.0,4,S6,39.7256,Turbocharged,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1095,6.0,12,S6,24.4,Turbocharged,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1096,3.0,6,S6,39.7103,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
1097,3.0,6,M6,38.7896,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
1098,3.0,6,S7,33.6296,Turbocharged,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1099,3.0,6,M6,35.2678,Turbocharged,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1100,8.0,16,S7,17.8,Turbocharged,7,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1101,6.2,8,M6,27.1,Supercharged,6,0.0,0.0,TwoWheelDriveRear,1,1,2Seaters,0.0,0.0
1102,6.2,8,S6,34.3493,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,1,1,2Seaters,0.0,0.0
1103,6.2,8,M6,35.8,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,1,1,2Seaters,0.0,0.0
1104,7.0,8,M6,33.7,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,1,1,2Seaters,0.0,0.0
1105,8.4,10,M6,30.0,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,1,1,2Seaters,1.0,0.0
1106,8.4,10,M6,30.0,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,1,1,2Seaters,1.0,0.0
1107,4.5,8,AM7,24.3499,NaturallyAspirated,7,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1108,5.7,12,AM6,20.99,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1109,5.7,12,M6,21.1,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1110,5.2,10,AM6,25.4,NaturallyAspirated,6,1.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1111,5.2,10,M6,24.0,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1112,5.2,10,AM6,25.4,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1113,5.2,10,M6,22.6,NaturallyAspirated,6,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1114,6.5,12,Other,17.5,NaturallyAspirated,7,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1115,6.5,12,AM7,19.9,NaturallyAspirated,7,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1116,6.5,12,AM7,19.9,NaturallyAspirated,7,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1117,6.5,12,Other,17.5,NaturallyAspirated,7,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1118,6.5,12,AM7,19.9,NaturallyAspirated,7,0.0,0.0,AllWheelDrive,2,2,2Seaters,1.0,0.0
1119,1.8,4,M6,37.62,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
1120,1.8,4,M6,37.0028,Supercharged,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
1121,2.0,4,M5,38.9959,NaturallyAspirated,5,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1122,2.0,4,M6,39.0,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1123,2.0,4,S6,38.512,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1124,5.5,8,A7,29.3,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1125,3.0,6,M6,35.9,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1126,3.5,6,A7,36.2,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1127,3.5,6,A7,34.5,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1128,3.5,6,M6,34.7927,NaturallyAspirated,6,0.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1129,5.5,8,A7,30.8,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,1,2Seaters,1.0,0.0
1130,1.0,3,Other,57.8,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1131,1.0,3,Other,57.8,NaturallyAspirated,5,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,0.0
1132,3.7,6,M6,35.9802,NaturallyAspirated,6,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
1133,3.7,6,S7,36.9,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
1134,3.7,6,S7,34.5832,NaturallyAspirated,7,1.0,0.0,TwoWheelDriveRear,2,2,2Seaters,1.0,1.0
