,0
0,Inactive
1,Inactive
2,Inactive
3,Inactive
4,Inactive
5,Inactive
6,Inactive
7,Inactive
8,Inactive
9,Inactive
10,Inactive
11,Inactive
12,Inactive
13,Inactive
14,Inactive
15,Inactive
16,Inactive
17,Inactive
18,Inactive
19,Inactive
20,Inactive
21,Inactive
22,Inactive
23,Inactive
24,Inactive
25,Inactive
26,Inactive
27,Inactive
28,Inactive
29,Inactive
30,Inactive
31,Inactive
32,Inactive
33,Inactive
34,Inactive
35,Inactive
36,Inactive
37,Inactive
38,Inactive
39,Inactive
40,Inactive
41,Inactive
42,Inactive
43,Inactive
44,Inactive
45,Inactive
46,Inactive
47,Inactive
48,Inactive
49,Inactive
50,Inactive
51,Inactive
52,Inactive
53,Inactive
54,Inactive
55,Inactive
56,Inactive
57,Inactive
58,Inactive
59,Inactive
60,Inactive
61,Inactive
62,Inactive
63,Inactive
64,Inactive
65,Inactive
66,Inactive
67,Inactive
68,Inactive
69,Inactive
70,Inactive
71,Inactive
72,Inactive
73,Inactive
74,Inactive
75,Inactive
76,Inactive
77,Inactive
78,Inactive
79,Inactive
80,Inactive
81,Inactive
82,Inactive
83,Inactive
84,Inactive
85,Inactive
86,Inactive
87,Inactive
88,Inactive
89,Inactive
90,Inactive
91,Inactive
92,Inactive
93,Inactive
94,Inactive
95,Inactive
96,Inactive
97,Inactive
98,Inactive
99,Inactive
100,Inactive
101,Inactive
102,Inactive
103,Inactive
104,Inactive
105,Inactive
106,Inactive
107,Inactive
108,Inactive
109,Inactive
110,Inactive
111,Inactive
112,Inactive
113,Inactive
114,Inactive
115,Inactive
116,Inactive
117,Inactive
118,Inactive
119,Inactive
120,Inactive
121,Inactive
122,Inactive
123,Inactive
124,Inactive
125,Inactive
126,Inactive
127,Inactive
128,Inactive
129,Inactive
130,Inactive
131,Inactive
132,Inactive
133,Inactive
134,Inactive
135,Inactive
136,Inactive
137,Inactive
138,Inactive
139,Inactive
140,Inactive
141,Inactive
142,Inactive
143,Inactive
144,Inactive
145,Inactive
146,Inactive
147,Inactive
148,Inactive
149,Inactive
150,Inactive
151,Inactive
152,Inactive
153,Inactive
154,Inactive
155,Inactive
156,Inactive
157,Inactive
158,Inactive
159,Inactive
160,Inactive
161,Inactive
162,Inactive
163,Inactive
164,Inactive
165,Inactive
166,Inactive
167,Inactive
168,Inactive
169,Inactive
170,Inactive
171,Inactive
172,Inactive
173,Inactive
174,Inactive
175,Inactive
176,Inactive
177,Inactive
178,Inactive
179,Inactive
180,Inactive
