,QikProp_.stars,QikProp_.amine,QikProp_.acid,QikProp_.rotor,QikProp_.rctvFG,QikProp_CNS,QikProp_MW,QikProp_dipole,QikProp_SASA,QikProp_FOSA,QikProp_FISA,QikProp_PISA,QikProp_WPSA,QikProp_volume,QikProp_donorHB,QikProp_accptHB,QikProp_dip.2.V,QikProp_ACxDN..5.SA,QikProp_glob,QikProp_QPpolrz,QikProp_QPlogPC16,QikProp_QPlogPoct,QikProp_QPlogPw,QikProp_QPlogPo.w,QikProp_QPlogS,QikProp_QPlogHERG,QikProp_QPPCaco,QikProp_QPlogBB,QikProp_QPPMDCK,QikProp_QPlogKp,QikProp_IP.eV.,QikProp_EA.eV.,QikProp_.metabol,QikProp_QPlogKhsa,moeGao_Abra_L,moeGao_Abra_R,moeGao_Abra_acidity,moeGao_Abra_basicity,moeGao_Abra_pi,moe2D_BCUT_PEOE_0,moe2D_BCUT_PEOE_1,moe2D_BCUT_PEOE_2,moe2D_BCUT_PEOE_3,moe2D_BCUT_SLOGP_0,moe2D_BCUT_SLOGP_1,moe2D_BCUT_SLOGP_2,moe2D_BCUT_SLOGP_3,moe2D_BCUT_SMR_0,moe2D_BCUT_SMR_1,moe2D_BCUT_SMR_2,moe2D_BCUT_SMR_3,moe2D_GCUT_PEOE_0,moe2D_GCUT_PEOE_1,moe2D_GCUT_PEOE_2,moe2D_GCUT_PEOE_3,moe2D_GCUT_SLOGP_0,moe2D_GCUT_SLOGP_1,moe2D_GCUT_SLOGP_2,moe2D_GCUT_SLOGP_3,moe2D_GCUT_SMR_0,moe2D_GCUT_SMR_1,moe2D_GCUT_SMR_2,moe2D_GCUT_SMR_3,moe2D_Kier1,moe2D_Kier2,moe2D_Kier3,moe2D_KierA1,moe2D_KierA2,moe2D_KierA3,moe2D_KierFlex,moe2D_PEOE_PC.,moe2D_PEOE_PC..1,moe2D_PEOE_RPC.,moe2D_PEOE_RPC..1,moe2D_PEOE_VSA.0,moe2D_PEOE_VSA.1,moe2D_PEOE_VSA.2,moe2D_PEOE_VSA.3,moe2D_PEOE_VSA.4,moe2D_PEOE_VSA.5,moe2D_PEOE_VSA.6,moe2D_PEOE_VSA.0.1,moe2D_PEOE_VSA.1.1,moe2D_PEOE_VSA.2.1,moe2D_PEOE_VSA.3.1,moe2D_PEOE_VSA.4.1,moe2D_PEOE_VSA.5.1,moe2D_PEOE_VSA.6.1,moe2D_PEOE_VSA_FHYD,moe2D_PEOE_VSA_FNEG,moe2D_PEOE_VSA_FPNEG,moe2D_PEOE_VSA_FPOL,moe2D_PEOE_VSA_FPOS,moe2D_PEOE_VSA_FPPOS,moe2D_PEOE_VSA_HYD,moe2D_PEOE_VSA_NEG,moe2D_PEOE_VSA_PNEG,moe2D_PEOE_VSA_POL,moe2D_PEOE_VSA_POS,moe2D_PEOE_VSA_PPOS,moe2D_Q_PC.,moe2D_Q_PC..1,moe2D_Q_RPC.,moe2D_Q_RPC..1,moe2D_Q_VSA_FHYD,moe2D_Q_VSA_FNEG,moe2D_Q_VSA_FPNEG,moe2D_Q_VSA_FPOL,moe2D_Q_VSA_FPOS,moe2D_Q_VSA_FPPOS,moe2D_Q_VSA_HYD,moe2D_Q_VSA_NEG,moe2D_Q_VSA_PNEG,moe2D_Q_VSA_POL,moe2D_Q_VSA_POS,moe2D_Q_VSA_PPOS,moe2D_SMR,moe2D_SMR_VSA0,moe2D_SMR_VSA1,moe2D_SMR_VSA2,moe2D_SMR_VSA3,moe2D_SMR_VSA4,moe2D_SMR_VSA5,moe2D_SMR_VSA6,moe2D_SMR_VSA7,moe2D_SlogP,moe2D_SlogP_VSA0,moe2D_SlogP_VSA1,moe2D_SlogP_VSA2,moe2D_SlogP_VSA3,moe2D_SlogP_VSA4,moe2D_SlogP_VSA5,moe2D_SlogP_VSA6,moe2D_SlogP_VSA7,moe2D_SlogP_VSA8,moe2D_SlogP_VSA9,moe2D_TPSA,moe2D_VAdjEq,moe2D_VAdjMa,moe2D_VDistEq,moe2D_VDistMa,moe2D_Weight,moe2D_a_IC,moe2D_a_ICM,moe2D_a_acc,moe2D_a_aro,moe2D_a_count,moe2D_a_don,moe2D_a_heavy,moe2D_a_hyd,moe2D_a_nBr,moe2D_a_nC,moe2D_a_nCl,moe2D_a_nF,moe2D_a_nH,moe2D_a_nN,moe2D_a_nO,moe2D_a_nS,moe2D_apol,moe2D_b_1rotN,moe2D_b_1rotR,moe2D_b_ar,moe2D_b_count,moe2D_b_double,moe2D_b_heavy,moe2D_b_rotN,moe2D_b_rotR,moe2D_b_single,moe2D_b_triple,moe2D_balabanJ,moe2D_bpol,moe2D_chi0,moe2D_chi0_C,moe2D_chi0v,moe2D_chi0v_C,moe2D_chi1,moe2D_chi1_C,moe2D_chi1v,moe2D_chi1v_C,moeGao_chi2_C,moeGao_chi2v_C,moeGao_chi3c,moeGao_chi3c_C,moeGao_chi3cv,moeGao_chi3cv_C,moeGao_chi3p,moeGao_chi3p_C,moeGao_chi3pv,moeGao_chi3pv_C,moeGao_chi4c,moeGao_chi4c_C,moeGao_chi4ca,moeGao_chi4ca_C,moeGao_chi4cav,moeGao_chi4cav_C,moeGao_chi4cv,moeGao_chi4cv_C,moeGao_chi4pc,moeGao_chi4pc_C,moeGao_chi4pcv,moeGao_chi4pcv_C,moe2D_chiral,moe2D_density,moe2D_diameter,moe2D_kS_aaCH,moe2D_kS_aaN,moe2D_kS_aaNH,moe2D_kS_aaS,moe2D_kS_aaaC,moe2D_kS_aasC,moe2D_kS_aasN,moe2D_kS_dO,moe2D_kS_ddssS,moe2D_kS_dsCH,moe2D_kS_dssC,moe2D_kS_sBr,moe2D_kS_sCH3,moe2D_kS_sCl,moe2D_kS_sF,moe2D_kS_sNH2,moe2D_kS_sOH,moe2D_kS_ssCH2,moe2D_kS_ssNH,moe2D_kS_ssO,moe2D_kS_ssS,moe2D_kS_sssCH,moe2D_kS_sssN,moe2D_kS_ssssC,moe2D_kS_tNH,moe2D_kS_tsC,moe2D_lip_acc,moe2D_lip_don,moe2D_lip_violation,moe2D_logP.o.w.,moe2D_logS,moe2D_mr,moe2D_opr_brigid,moe2D_opr_nring,moe2D_opr_nrot,moe2D_opr_violation,moe2D_petitjean,moe2D_petitjeanSC,moe2D_radius,moe2D_reactive,moe2D_rings,moe2D_vdw_area,moe2D_vdw_vol,moe2D_vsa_acc,moe2D_vsa_don,moe2D_vsa_hyd,moe2D_vsa_other,moe2D_vsa_pol,moe2D_weinerPath,moe2D_weinerPol,moe2D_zagreb
1,1,0,0,1,0,0,358.882,7.645,635.022,273.363,75.583,213.789,72.288,1119.553,0.0,4.0,0.0522018,0.0,0.8211187,40.05,11.114,16.196,7.199,4.784,-6.447,-6.677,2499.942,-0.171,1833.583,-2.063,9.207,0.491,2,0.866,11.61,2.443,0.03,0.203,2.004,-2.448,-0.6261,0.7014,2.868,-2.435,-0.5008,0.8059,3.007,-2.192,-0.428,0.8543,3.138,-0.8875,-0.384,0.07482,2.749,-0.8301,-0.2639,0.1645,2.9,-0.5048,-0.184,0.1931,3.041,17.42,6.311,3.36,15.55,5.606,2.974,3.632,1.703,-1.703,0.1489,0.2776,63.15,34.12,12.8,20.72,0.0,4.185,0.0,92.66,54.09,6.513,0.0,0.0,0.0,32.02,0.887,0.5785,0.09997,0.113,0.4215,0.01307,284.1,185.3,32.02,36.2,135.0,4.185,3.609,-3.609,0.3335,0.1801,0.771,0.5797,0.1543,0.229,0.4203,0.07467,246.9,185.6,49.42,73.33,134.6,23.92,9.906,48.17,0.0,1.551,6.371,9.872,216.6,0.0,77.72,5.255,0.0,48.17,6.879,0.0,6.371,33.24,0.0,151.0,75.47,39.15,34.14,0.4489,5.755,3.34,8.876,358.9,64.18,1.493,2,12,43,0,24,21,0,20,1,0,19,0,2,1,54.55,3,0.1111,12,46,1,27,3,0.1111,33,0,1.415,27.67,16.95,13.45,15.12,11.95,11.36,8.997,10.42,7.014,7.643,5.388,3.112,1.313,1.745,1.051,8.509,6.418,5.179,3.955,0.4137,0.125,6.417,5.051,3.343,2.681,0.176,0.125,4.778,2.507,2.424,1.555,0,0.7791,12,2.908,0.0,0.0,0.0,0.0,-2.513,0.0,0.0,0.0,0.0,22.85,0.0,0.1173,9.455,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,4.795,-6.51,9.881,20,4,3,0,0.5,1.0,6,0,4,320.3,460.6,32.02,0.0,268.2,6.513,0.0,1340,37,138
2,0,0,0,2,0,-1,359.87,7.959,622.548,189.93,136.949,221.818,73.851,1090.903,2.0,4.5,0.0580658,0.0102224,0.8232205,38.338,11.759,19.146,10.789,3.865,-5.994,-6.928,580.784,-0.842,365.687,-3.07,9.285,0.672,2,0.665,11.29,2.436,0.386,-0.25,1.51,-2.445,-0.632,0.7069,2.868,-2.572,-0.5132,0.8059,3.007,-2.191,-0.4519,0.8543,3.138,-0.7753,-0.3883,0.07842,2.74,-1.348,-0.2701,0.1737,2.89,-0.5048,-0.1911,0.2292,3.031,17.42,6.311,3.36,15.55,5.606,2.974,3.632,1.299,-1.299,0.217,0.1823,90.5,34.12,0.0,0.0,0.0,4.185,0.0,92.66,54.09,0.0,9.044,32.02,0.0,0.0,0.8857,0.5932,0.1011,0.1143,0.4068,0.01322,280.4,187.8,32.02,36.2,128.8,4.185,4.587,-4.587,0.3154,0.2132,0.674,0.6149,0.1846,0.326,0.3851,0.1413,213.4,194.7,58.46,103.2,121.9,44.75,9.732,48.17,0.0,1.551,6.371,41.16,216.6,0.0,45.79,4.498,31.29,48.17,6.641,0.0,6.371,1.551,0.0,151.0,75.47,39.15,60.16,0.4489,5.755,3.34,8.876,359.9,68.71,1.636,2,12,42,1,24,20,0,19,1,0,18,1,2,1,53.23,3,0.1111,12,45,1,27,3,0.1111,32,0,1.415,25.91,16.95,12.45,14.7,10.95,11.36,8.997,9.9,7.014,7.643,5.388,3.112,1.313,1.596,1.051,8.509,6.418,5.03,3.955,0.4137,0.125,6.417,5.051,3.257,2.681,0.1545,0.125,4.778,2.507,2.259,1.555,0,0.799,12,2.592,0.0,0.0,0.0,0.0,-3.013,0.0,0.0,0.0,0.0,22.37,0.0,0.0,9.359,0.0,0.0926,0.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4.025,-6.595,9.761,20,4,3,0,0.5,1.0,6,0,4,316.6,450.4,32.02,20.14,236.8,10.11,0.0,1340,37,138
3,0,0,0,3,0,-1,355.451,7.5,610.972,268.526,136.952,203.281,2.213,1092.586,2.0,5.25,0.051479,0.0121521,0.8396808,37.586,11.159,18.84,11.25,3.336,-5.08,-6.373,580.741,-0.872,365.657,-3.039,8.989,0.59,3,0.505,10.94,2.309,0.386,-0.243,1.353,-2.446,-0.6257,0.7037,2.868,-2.572,-0.5381,0.8059,3.007,-2.192,-0.4388,0.8543,3.138,-0.7895,-0.3968,0.07513,2.762,-1.348,-0.2761,0.1645,2.909,-0.5048,-0.2032,0.1931,3.049,18.37,6.866,3.575,15.54,5.765,2.985,3.583,1.538,-1.538,0.1833,0.2262,111.0,55.38,0.0,0.0,0.0,4.185,0.0,92.66,24.51,0.0,9.044,32.02,0.0,2.504,0.8832,0.4852,0.1042,0.1168,0.5148,0.01263,292.6,160.7,34.52,38.7,170.5,4.185,4.773,-4.773,0.3032,0.2049,0.6054,0.506,0.184,0.3946,0.494,0.2105,200.6,167.6,60.97,130.7,163.7,69.74,9.852,48.17,11.0,1.551,11.61,37.66,216.6,0.0,42.02,3.827,42.29,48.17,6.641,0.0,6.371,36.93,0.0,147.5,75.47,5.243,69.39,0.4351,5.807,3.422,8.989,355.5,70.65,1.536,3,12,46,1,25,19,0,20,0,0,21,1,3,1,55.61,4,0.1429,12,49,1,28,4,0.1429,36,0,1.399,30.69,17.66,13.45,14.97,11.95,11.9,8.997,9.946,7.014,7.643,5.388,3.027,1.313,1.475,1.051,8.917,6.418,5.023,3.955,0.4137,0.125,6.727,5.051,3.272,2.681,0.1545,0.125,4.862,2.507,2.187,1.555,0,0.757,13,3.601,0.0,0.0,0.0,0.0,-2.996,0.0,0.0,9.534,0.0,23.72,0.0,0.1282,0.0,0.0,0.0,0.0,4.49,0.0,6.117,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,3.389,-5.912,9.903,20,4,4,0,0.4615,0.8571,7,0,4,331.3,469.6,34.52,20.14,238.4,18.56,0.0,1524,39,142
4,1,0,0,2,0,-1,393.423,9.342,651.852,190.772,136.955,201.472,122.654,1147.502,2.0,4.5,0.0760531,0.0097629,0.8131762,40.409,10.827,20.304,10.749,4.357,-6.738,-7.098,580.699,-0.875,365.628,-3.142,9.702,0.798,2,0.823,10.52,2.043,0.386,-0.335,1.323,-2.445,-0.6295,0.6994,2.868,-2.572,-0.5017,0.8059,3.007,-2.192,-0.442,0.8543,3.138,-0.7753,-0.3896,0.07603,2.77,-1.348,-0.2693,0.2111,2.915,-0.5049,-0.191,0.1931,3.053,20.28,7.053,4.025,17.01,5.875,3.335,3.702,1.728,-1.728,0.2415,0.137,85.98,36.33,0.0,0.0,0.0,4.185,9.046,92.66,24.51,0.0,44.77,32.02,0.0,0.0,0.8627,0.5886,0.09717,0.1373,0.4114,0.04015,284.2,194.0,32.02,45.25,135.5,13.23,5.574,-5.574,0.2596,0.1755,0.5509,0.6162,0.2859,0.4491,0.3838,0.1633,181.5,203.0,94.19,148.0,126.5,53.79,9.709,48.17,44.88,9.31,9.557,37.66,216.6,0.0,6.641,5.149,31.29,48.17,6.641,0.0,9.557,1.551,7.76,147.5,75.47,44.88,60.16,0.4102,5.907,3.501,9.209,393.4,78.88,1.753,2,12,45,1,27,23,0,20,0,3,18,1,2,1,54.48,3,0.1,12,48,1,30,4,0.1333,35,0,1.392,29.1,19.45,12.95,15.2,11.45,12.57,9.285,10.15,7.264,8.051,5.677,4.333,1.457,1.624,1.134,9.445,6.707,5.146,4.121,0.7024,0.125,7.116,5.217,3.34,2.765,0.168,0.125,6.231,2.712,2.355,1.651,0,0.8401,13,1.09,0.0,0.0,0.0,0.0,-3.107,0.0,7.947,0.0,0.0,19.97,0.0,0.0,0.0,-5.404,0.0,0.0,47.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4.368,-6.918,9.848,20,4,3,0,0.4615,0.8571,7,0,4,329.5,468.3,32.02,20.14,249.7,10.11,0.0,1898,43,156
5,1,0,0,2,0,-1,394.315,9.409,637.688,189.933,136.952,183.022,127.78,1129.899,2.0,4.5,0.0783569,0.0099797,0.8227163,39.528,12.236,20.055,10.636,4.244,-6.511,-6.936,580.748,-0.844,365.662,-3.207,9.312,0.709,2,0.777,12.03,2.571,0.386,-0.23,1.6,-2.445,-0.6376,0.6986,2.868,-2.572,-0.4777,0.83,3.007,-2.191,-0.4308,0.8936,3.138,-0.7753,-0.3995,0.07163,2.742,-1.348,-0.27,0.206,2.897,-0.5048,-0.1674,0.2934,3.035,18.37,6.558,3.453,17.46,6.219,3.269,4.343,1.315,-1.315,0.2143,0.18,85.98,38.9,0.0,0.0,0.0,4.185,0.0,92.66,71.42,0.0,9.044,32.02,0.0,0.0,0.8917,0.6138,0.0958,0.1083,0.3862,0.01252,298.0,205.1,32.02,36.2,129.1,4.185,4.614,-4.614,0.3136,0.212,0.6912,0.6344,0.1749,0.3088,0.3656,0.1339,231.0,212.0,58.46,103.2,122.2,44.75,10.27,48.17,0.0,1.551,6.371,44.66,199.0,0.0,84.94,5.178,31.29,48.17,6.641,0.0,6.371,1.551,0.0,136.9,75.47,78.3,60.16,0.4351,5.807,3.364,8.998,394.3,72.28,1.721,2,12,42,1,25,21,0,19,2,0,17,1,2,1,54.74,3,0.1071,12,45,1,28,3,0.1071,32,0,1.431,25.24,17.82,12.32,15.76,10.87,11.77,8.83,10.38,6.931,7.484,5.321,3.294,1.313,1.734,1.051,9.087,6.245,5.592,3.894,0.4137,0.125,6.681,4.876,3.462,2.628,0.1545,0.125,5.455,2.486,2.771,1.548,0,0.8455,12,1.206,0.0,0.0,0.0,0.0,-3.06,0.0,8.951,7.956,0.0,18.51,0.0,0.0,-0.02777,0.0,0.0,0.0,27.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4.652,-7.33,10.24,20,4,3,0,0.5,1.0,6,0,4,334.2,466.4,32.02,20.14,255.1,10.11,0.0,1486,40,144
6,1,0,0,1,0,0,338.464,5.163,642.347,361.143,75.586,204.968,0.65,1134.173,0.0,4.0,0.0235036,0.0,0.8188075,40.551,10.688,15.603,7.131,4.658,-6.258,-6.416,2499.741,-0.176,1833.42,-2.095,9.134,0.399,3,0.911,11.26,2.316,0.03,0.21,1.847,-2.449,-0.6261,0.6948,2.868,-2.435,-0.4849,0.8059,3.007,-2.192,-0.4131,0.8543,3.138,-0.8875,-0.3881,0.07179,2.772,-0.8301,-0.2639,0.1645,2.92,-0.5049,-0.1838,0.1931,3.062,17.42,6.311,3.36,14.62,5.256,2.782,3.202,1.743,-1.743,0.1455,0.2712,71.43,34.12,12.8,20.72,0.0,4.185,0.0,86.9,51.23,6.513,0.0,0.0,0.0,32.02,0.8868,0.5522,0.1001,0.1132,0.4478,0.01308,283.7,176.7,32.02,36.2,143.3,4.185,3.576,-3.576,0.3367,0.1818,0.7708,0.4947,0.1545,0.2292,0.5053,0.07476,246.6,158.3,49.42,73.33,161.6,23.92,9.845,48.17,0.0,1.551,9.557,6.371,216.6,0.0,71.9,4.883,0.0,48.17,6.879,0.0,9.557,33.24,0.0,147.5,75.47,33.33,34.14,0.4489,5.755,3.34,8.876,338.5,61.74,1.342,2,12,46,0,24,21,0,21,0,0,22,0,2,1,56.13,3,0.1111,12,49,1,27,3,0.1111,36,0,1.415,30.53,16.95,14.45,14.99,12.95,11.36,9.574,10.35,7.514,8.459,5.965,3.112,1.601,1.722,1.217,8.509,6.996,5.134,4.288,0.4137,0.125,6.417,5.384,3.321,2.848,0.176,0.125,4.778,2.916,2.398,1.747,0,0.7215,12,4.338,0.0,0.0,0.0,0.0,-2.481,0.0,0.0,0.0,0.0,24.64,0.0,9.732,0.0,0.0,0.0,0.0,9.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,4.501,-6.249,9.821,20,4,3,0,0.5,1.0,6,0,4,319.9,469.1,32.02,0.0,265.7,6.513,0.0,1340,37,138
7,1,0,0,2,0,-1,377.86,9.458,624.819,189.94,136.951,189.428,108.5,1104.274,2.0,4.5,0.081,0.0101853,0.8269173,38.564,11.348,19.677,10.633,4.027,-6.194,-6.864,580.763,-0.83,365.672,-3.184,9.495,0.741,2,0.705,11.22,2.318,0.386,-0.23,1.518,-2.445,-0.6366,0.7008,2.868,-2.572,-0.4844,0.8269,3.007,-2.191,-0.4441,0.8935,3.138,-0.7753,-0.4046,0.07233,2.743,-1.348,-0.2704,0.1967,2.895,-0.5048,-0.1893,0.2377,3.033,18.37,6.558,3.453,16.35,5.81,3.048,3.801,1.416,-1.416,0.199,0.1672,85.98,34.38,9.021,0.0,0.0,4.185,0.0,92.66,41.84,0.0,9.044,43.93,0.0,0.0,0.8501,0.584,0.1368,0.1499,0.416,0.01304,272.9,187.5,43.93,48.11,133.6,4.185,4.627,-4.627,0.3127,0.2114,0.6785,0.6054,0.1821,0.3215,0.3946,0.1394,217.8,194.3,58.46,103.2,126.7,44.75,9.793,48.17,14.96,1.551,6.371,50.28,199.0,0.0,45.79,4.909,31.29,48.17,6.641,0.0,6.371,1.551,0.0,142.5,75.47,54.11,60.16,0.4351,5.807,3.364,8.998,377.9,74.28,1.769,2,12,42,1,25,21,0,19,1,1,17,1,2,1,53.12,3,0.1071,12,45,1,28,3,0.1071,32,0,1.431,26.02,17.82,12.32,15.0,10.87,11.77,8.83,10.01,6.931,7.484,5.321,3.294,1.313,1.625,1.051,9.087,6.245,5.143,3.894,0.4137,0.125,6.681,4.876,3.344,2.628,0.1545,0.125,5.455,2.486,2.397,1.548,0,0.8331,12,0.5923,0.0,0.0,0.0,0.0,-3.07,0.0,8.863,7.948,0.0,18.1,0.0,0.0,0.0,-0.05034,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4.213,-6.89,9.836,20,4,3,0,0.5,1.0,6,0,4,321.0,453.6,32.02,20.14,241.9,10.11,0.0,1486,40,144
8,2,0,0,2,0,-1,385.335,5.154,579.891,0.876,149.858,275.143,154.014,1008.416,2.0,6.0,0.0263468,0.0146325,0.8386452,35.546,9.79,19.126,12.633,2.947,-5.197,-7.311,427.233,-0.914,260.506,-3.12,9.906,1.613,0,0.196,6.928,1.292,0.386,-0.172,1.246,-2.323,-0.6222,0.7035,2.407,-2.572,-0.5381,0.8059,2.476,-1.972,-0.4999,0.8543,2.722,-0.8091,-0.3968,0.07985,2.514,-1.348,-0.2639,0.2002,2.621,-0.4661,-0.2042,0.1931,2.792,20.73,7.788,4.543,16.14,6.0,3.473,3.725,2.088,-2.088,0.2101,0.1134,54.06,45.09,6.7,9.021,6.7,4.185,9.046,24.51,61.27,0.0,54.19,43.93,0.0,0.0,0.7996,0.577,0.1378,0.2004,0.423,0.06253,254.8,183.9,43.93,63.85,134.8,19.93,5.727,-5.727,0.2526,0.1708,0.5943,0.7091,0.2915,0.4057,0.2909,0.1142,189.4,226.0,92.91,129.3,92.71,36.39,8.61,48.17,78.28,9.31,2.757,49.11,158.8,0.0,6.641,3.927,31.29,66.61,6.641,0.0,2.757,1.551,7.76,176.6,0.0,59.84,77.98,0.4121,5.807,3.294,9.131,385.3,75.94,2.052,3,17,37,1,26,17,0,16,0,4,11,3,2,1,45.53,3,0.1071,17,39,0,28,4,0.1429,22,0,1.749,24.63,19.11,10.33,13.72,8.696,12.09,6.738,8.678,4.732,4.682,2.741,3.767,0.1667,0.8574,0.08333,9.171,3.279,3.785,1.595,0.5774,0.0,7.369,2.299,2.418,0.9285,0.04296,0.0,5.817,0.3319,1.445,0.1379,0,0.9303,11,4.42,0.0,0.0,0.0,-3.869,21.26,0.0,-3.342,28.18,0.0,0.0,0.0,0.0,0.0,7.777,66.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,2.931,-5.665,8.845,17,3,3,0,0.4545,0.8333,6,0,3,318.7,414.2,41.44,20.14,214.4,30.2,0.0,1596,43,142
9,0,0,0,2,0,-1,368.277,8.47,598.796,144.396,136.957,186.587,130.855,1041.901,2.0,4.5,0.0688527,0.0106279,0.8300498,36.041,11.448,18.728,10.494,3.687,-5.84,-6.966,580.681,-0.82,365.615,-3.194,9.337,0.717,2,0.528,11.09,2.384,0.386,-0.267,1.529,-2.465,-0.6496,0.6777,2.579,-2.572,-0.4891,0.8427,2.765,-2.216,-0.4354,0.8838,2.878,-0.78,-0.4018,0.06321,2.607,-1.348,-0.2762,0.1995,2.771,-0.5231,-0.1762,0.2648,2.911,17.81,7.087,3.984,16.85,6.688,3.752,4.9,1.259,-1.259,0.2238,0.1881,77.45,38.9,0.0,0.0,0.0,4.185,0.0,83.96,71.42,0.0,9.044,32.02,0.0,0.0,0.8858,0.6197,0.101,0.1142,0.3803,0.0132,280.8,196.4,32.02,36.2,120.5,4.185,4.024,-4.024,0.3596,0.243,0.7842,0.614,0.1295,0.2158,0.386,0.08627,248.6,194.6,41.06,68.4,122.4,27.34,9.562,48.17,0.0,1.551,6.371,44.66,180.1,0.0,84.94,4.788,31.29,48.17,6.641,0.0,6.371,1.551,0.0,136.9,56.61,78.3,60.16,0.4514,5.644,3.366,8.738,368.3,67.33,1.772,2,12,38,1,23,19,0,17,2,0,15,1,2,1,49.89,3,0.12,12,40,1,25,3,0.12,27,0,1.581,23.05,16.61,11.11,14.55,9.663,10.86,7.916,9.47,6.017,6.507,4.321,2.587,0.6055,1.027,0.3434,8.471,5.629,4.989,3.29,0.2887,0.0,6.108,4.303,2.984,2.15,0.02946,0.0,4.774,1.805,2.152,0.9297,0,0.8536,12,1.105,0.0,0.0,0.0,0.0,-3.06,0.0,7.877,27.21,0.0,18.16,0.0,0.0,0.0,0.0,5.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4.389,-6.401,9.542,17,3,3,0,0.5,1.0,6,0,3,317.0,431.4,32.02,20.14,239.3,10.11,0.0,1231,36,124
10,0,0,0,3,0,-1,329.413,6.108,567.226,222.99,136.951,205.072,2.213,1003.855,2.0,5.25,0.0371658,0.0130894,0.8547846,34.052,10.369,17.435,11.124,2.776,-4.33,-6.269,580.763,-0.827,365.673,-3.033,8.999,0.6,3,0.266,9.998,2.122,0.386,-0.28,1.282,-2.465,-0.6312,0.6592,2.579,-2.572,-0.5381,0.788,2.765,-2.216,-0.459,0.843,2.878,-0.7897,-0.4098,0.0613,2.63,-1.348,-0.3009,0.1645,2.785,-0.5231,-0.2044,0.1931,2.927,17.81,7.486,4.159,14.83,6.18,3.41,3.986,1.482,-1.482,0.1902,0.2348,102.4,55.38,0.0,0.0,0.0,4.185,0.0,83.96,24.51,0.0,9.044,32.02,0.0,2.504,0.8768,0.4841,0.1099,0.1232,0.5159,0.01333,275.3,152.0,34.52,38.7,162.0,4.185,4.183,-4.183,0.3459,0.2338,0.6946,0.4783,0.1387,0.3054,0.5217,0.1667,218.1,150.2,43.56,95.91,163.8,52.34,9.147,48.17,11.0,1.551,11.61,37.66,197.8,0.0,42.02,3.437,42.29,48.17,6.641,0.0,6.371,36.93,0.0,147.5,56.61,5.243,69.39,0.4514,5.644,3.428,8.728,329.4,65.95,1.57,3,12,42,1,23,17,0,18,0,0,19,1,3,1,50.76,4,0.16,12,44,1,25,4,0.16,31,0,1.542,28.5,16.45,12.24,13.77,10.74,10.99,8.082,9.032,6.1,6.666,4.388,2.32,0.6055,0.7678,0.3434,8.301,5.802,4.42,3.351,0.2887,0.0,6.155,4.478,2.794,2.203,0.02946,0.0,4.181,1.826,1.568,0.9361,0,0.758,13,3.514,0.0,0.0,0.0,0.0,-2.996,0.0,7.923,4.451,0.0,23.32,0.0,6.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,3.126,-4.983,9.214,17,3,4,0,0.4615,0.8571,7,0,3,314.0,434.6,34.52,20.14,222.6,18.56,0.0,1265,35,122
