,0
0,0.001
1,0.001
2,0.001
3,0.001
4,0.001
5,0.0015
6,0.0015
7,0.0017
8,0.002
9,0.002
10,0.002
11,0.002
12,0.002
13,0.002
14,0.002
15,0.002
16,0.002
17,0.002
18,0.0025
19,0.003
20,0.003
21,0.003
22,0.003
23,0.003
24,0.003
25,0.003
26,0.003
27,0.003
28,0.0033
29,0.0037
30,0.004
31,0.004
32,0.004
33,0.004
34,0.004
35,0.0047
36,0.005
37,0.005
38,0.005
39,0.005
40,0.005
41,0.005
42,0.005
43,0.005
44,0.005
45,0.005
46,0.0053
47,0.0057
48,0.006
49,0.006
50,0.006
51,0.006
52,0.006
53,0.0067
54,0.007
55,0.007
56,0.007
57,0.007
58,0.007
59,0.007
60,0.007
61,0.0075
62,0.008
63,0.008
64,0.008
65,0.009
66,0.009
67,0.009
68,0.009
69,0.0093
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.011
85,0.012
86,0.012
87,0.013
88,0.013
89,0.013
90,0.013
91,0.013
92,0.013
93,0.013
94,0.014
95,0.014
96,0.015
97,0.015
98,0.015
99,0.016
100,0.016
101,0.016
102,0.017
103,0.017
104,0.017
105,0.018
106,0.018
107,0.018
108,0.019
109,0.019
110,0.02
111,0.02
112,0.02
113,0.02
114,0.02
115,0.021
116,0.021
117,0.021
118,0.021
119,0.021
120,0.021
121,0.021
122,0.022
123,0.022
124,0.023
125,0.023
126,0.023
127,0.024
128,0.024
129,0.026
130,0.026
131,0.026
132,0.026
133,0.027
134,0.027
135,0.027
136,0.028
137,0.028
138,0.028
139,0.029
140,0.029
141,0.03
142,0.03
143,0.03
144,0.03
145,0.03
146,0.03
147,0.03
148,0.03
149,0.03
150,0.03
151,0.03
152,0.031
153,0.031
154,0.032
155,0.032
156,0.032
157,0.033
158,0.033
159,0.033
160,0.038
161,0.04
162,0.04
163,0.04
164,0.04
165,0.04
166,0.04
167,0.04
168,0.041
169,0.045
170,0.049
171,0.05
172,0.05
173,0.05
174,0.05
175,0.05
176,0.051
177,0.051
178,0.051
179,0.052
180,0.052
181,0.053
182,0.056
183,0.056
184,0.056
185,0.057
186,0.058
187,0.059
188,0.06
189,0.06
190,0.06
191,0.06
192,0.06
193,0.061
194,0.062
195,0.065
196,0.066
197,0.067
198,0.069
199,0.07
200,0.075
201,0.075
202,0.076
203,0.079
204,0.08
205,0.08
206,0.08
207,0.08
208,0.08
209,0.083
210,0.084
211,0.09
212,0.09
213,0.093
214,0.1
215,0.1
216,0.1
217,0.1
218,0.1
219,0.11
220,0.11
221,0.11
222,0.11
223,0.11
224,0.11
225,0.11
226,0.12
227,0.12
228,0.12
229,0.12
230,0.12
231,0.12
232,0.12
233,0.12
234,0.13
235,0.13
236,0.13
237,0.13
238,0.135
239,0.14
240,0.14
241,0.14
242,0.14
243,0.14
244,0.15
245,0.15
246,0.16
247,0.16
248,0.16
249,0.17
250,0.17
251,0.17
252,0.17
253,0.17
254,0.17
255,0.18
256,0.2
257,0.2
258,0.21
259,0.221
260,0.23
261,0.23
262,0.24
263,0.24
264,0.24
265,0.25
266,0.25
267,0.26
268,0.27
269,0.28
270,0.29
271,0.29
272,0.32
273,0.32
274,0.33
275,0.33
276,0.33
277,0.34
278,0.34
279,0.34
280,0.34
281,0.34
282,0.34
283,0.35
284,0.35
285,0.35
286,0.35
287,0.35
288,0.36
289,0.4
290,0.41
291,0.41
292,0.42
293,0.43
294,0.43
295,0.43
296,0.44
297,0.44
298,0.44
299,0.46
300,0.47
301,0.47
302,0.47
303,0.48
304,0.51
305,0.51
306,0.52
307,0.52
308,0.52
309,0.53
310,0.53
311,0.54
312,0.57
313,0.6
314,0.61
315,0.61
316,0.63
317,0.64
318,0.66
319,0.7
320,0.72
321,0.73
322,0.75
323,0.75
324,0.75
325,0.76
326,0.8
327,0.83
328,0.86
329,0.865
330,0.89
331,0.9
332,0.92
333,0.94
334,0.95
335,0.96
336,1.02
337,1.04
338,1.09
339,1.1
340,1.1
341,1.2
342,1.2
343,1.3
344,1.44
345,1.47
346,1.54
347,1.54
348,1.6
349,1.6
350,1.61
351,1.69
352,1.7
353,1.8
354,1.8
355,1.83
356,2.25
357,2.48
358,2.8
359,2.87
360,2.9
361,2.9
362,3.2
363,3.2
364,3.23
365,3.29
366,3.58
367,3.72
368,3.88
369,4.15
370,4.66
371,4.79
372,5.7
373,5.7
374,5.8
375,5.89
376,6.6
377,7.73
378,8.23
379,8.35
380,9.6
381,10.2
382,11.2
383,11.4
384,12.2
385,14.3
386,19.8
387,20.7
388,24.4
389,29.7
390,29.7
391,37.6
392,45.0
393,45.6
394,46.8
395,47.1
396,51.0
397,51.0
398,52.3
399,54.0
400,62.8
401,64.7
402,65.0
403,68.1
404,70.0
405,74.9
406,77.9
407,79.0
408,93.3
409,93.4
410,100.0
411,30.0
412,100.0
413,100.0
414,100.0
415,100.0
416,100.0
417,100.0
418,100.0
419,100.0
420,100.0
421,100.0
422,100.0
423,100.0
424,100.0
425,100.0
426,100.0
427,100.0
428,100.0
429,100.0
430,100.0
431,100.0
432,100.0
433,100.0
434,100.0
435,100.0
436,100.0
437,100.0
438,100.0
439,100.0
440,100.0
441,100.0
442,100.0
443,100.0
444,100.0
445,100.0
446,100.0
447,100.0
448,100.0
449,100.0
450,100.0
451,100.0
452,100.0
453,100.0
454,100.0
455,100.0
456,100.0
457,100.0
458,100.0
459,100.0
460,100.0
461,100.0
