,Bad,Good,pred,obs
2,0.5770948659282531,0.42290513407174696,Bad,Bad
5,0.6784651562070088,0.3215348437929913,Bad,Bad
6,0.3031360331194126,0.6968639668805874,Good,Good
7,0.05868944065092274,0.9413105593490773,Good,Good
19,0.4083963062449919,0.5916036937550081,Good,Bad
22,0.21115947544373648,0.7888405245562635,Good,Good
24,0.028290652810191275,0.9717093471898087,Good,Good
25,0.030393645482383214,0.9696063545176168,Good,Good
36,0.48033475390561176,0.5196652460943882,Good,Bad
37,0.3439861035472178,0.6560138964527822,Good,Good
38,0.1673762159105573,0.8326237840894427,Good,Bad
39,0.06362801078647928,0.9363719892135207,Good,Good
41,0.23893442890862215,0.7610655710913778,Good,Good
42,0.3782313446256652,0.6217686553743348,Good,Good
45,0.27908353359084725,0.7209164664091527,Good,Bad
47,0.14333634356944336,0.8566636564305566,Good,Good
49,0.07012007353534666,0.9298799264646533,Good,Good
52,0.12145252081086022,0.8785474791891398,Good,Good
53,0.11283145179091725,0.8871685482090828,Good,Good
66,0.13186213231759158,0.8681378676824084,Good,Good
73,0.1952075898433555,0.8047924101566445,Good,Good
75,0.5787128100609228,0.4212871899390772,Bad,Bad
76,0.05222908304593532,0.9477709169540647,Good,Good
83,0.1881872445413456,0.8118127554586544,Good,Good
85,0.14390878241009386,0.8560912175899061,Good,Good
87,0.32797367502613595,0.672026324973864,Good,Good
93,0.03372334749721939,0.9662766525027806,Good,Bad
94,0.2534231572699035,0.7465768427300965,Good,Good
98,0.32551404817941176,0.6744859518205882,Good,Good
99,0.15105112966585732,0.8489488703341427,Good,Good
103,0.06803865679126109,0.9319613432087389,Good,Good
105,0.037254749556738354,0.9627452504432616,Good,Good
114,0.35068783787824065,0.6493121621217594,Good,Bad
116,0.02673985916427879,0.9732601408357212,Good,Good
117,0.4042873913418269,0.5957126086581731,Good,Bad
118,0.26772616683807215,0.7322738331619278,Good,Good
119,0.34120334278886866,0.6587966572111313,Good,Bad
123,0.13135820392504027,0.8686417960749597,Good,Good
127,0.2691368422985788,0.7308631577014212,Good,Good
128,0.2939400540261071,0.7060599459738929,Good,Bad
129,0.07163056052114303,0.928369439478857,Good,Good
133,0.22988923535225403,0.770110764647746,Good,Good
138,0.0660929870311121,0.9339070129688879,Good,Bad
141,0.10761942498785715,0.8923805750121429,Good,Good
146,0.6247400215111802,0.3752599784888198,Bad,Good
148,0.03363729535705762,0.9663627046429424,Good,Good
157,0.031098534943398093,0.9689014650566019,Good,Good
170,0.2912342013137935,0.7087657986862065,Good,Bad
175,0.710309040985429,0.289690959014571,Bad,Bad
187,0.19098288854394818,0.8090171114560518,Good,Bad
192,0.6686094648407608,0.3313905351592392,Bad,Bad
196,0.21460806376870145,0.7853919362312985,Good,Bad
199,0.14623086350706205,0.853769136492938,Good,Good
203,0.1240351106370352,0.8759648893629648,Good,Good
214,0.04435250045197847,0.9556474995480215,Good,Bad
217,0.5291417463266626,0.47085825367333745,Bad,Good
218,0.15588493527497738,0.8441150647250226,Good,Good
219,0.6968483253282233,0.3031516746717767,Bad,Good
220,0.0711691297174113,0.9288308702825887,Good,Good
224,0.0630726315752056,0.9369273684247944,Good,Good
225,0.04589678506823769,0.9541032149317623,Good,Good
227,0.7676160473640355,0.23238395263596445,Bad,Bad
233,0.059458336982847304,0.9405416630171527,Good,Good
236,0.6194034426797896,0.3805965573202103,Bad,Bad
243,0.7991801728120591,0.2008198271879409,Bad,Bad
246,0.06111267144440402,0.938887328555596,Good,Good
248,0.6776678921831106,0.32233210781688937,Bad,Good
250,0.3079579675514612,0.6920420324485388,Good,Bad
261,0.263801362640983,0.736198637359017,Good,Good
263,0.494317224516893,0.505682775483107,Good,Good
266,0.27817687766293164,0.7218231223370684,Good,Bad
272,0.022175866829439728,0.9778241331705603,Good,Good
273,0.9510776590124017,0.04892234098759828,Bad,Good
276,0.04849967794884358,0.9515003220511564,Good,Good
283,0.08791714935703965,0.9120828506429604,Good,Good
303,0.0525027861363665,0.9474972138636335,Good,Bad
312,0.26600156283197685,0.7339984371680232,Good,Good
318,0.088776730298329,0.911223269701671,Good,Good
323,0.1051321013230685,0.8948678986769315,Good,Good
325,0.11857271888102117,0.8814272811189788,Good,Good
334,0.2712583491979752,0.7287416508020248,Good,Bad
344,0.31408523131515875,0.6859147686848412,Good,Good
347,0.08046371964394639,0.9195362803560536,Good,Good
354,0.8241475072649347,0.17585249273506529,Bad,Bad
370,0.17759547358350103,0.822404526416499,Good,Good
371,0.16381509700973185,0.8361849029902682,Good,Good
374,0.24837801733388687,0.7516219826661131,Good,Good
398,0.2553298456467282,0.7446701543532718,Good,Good
405,0.261992155895694,0.738007844104306,Good,Good
407,0.004674630929197621,0.9953253690708024,Good,Good
409,0.2318328986794458,0.7681671013205542,Good,Good
410,0.06160469920421985,0.9383953007957802,Good,Bad
417,0.6168473743810253,0.3831526256189747,Bad,Bad
418,0.6970993626024747,0.30290063739752526,Bad,Good
426,0.17295965266014568,0.8270403473398543,Good,Good
429,0.07452215041921806,0.9254778495807819,Good,Good
430,0.17933963336732406,0.8206603666326759,Good,Bad
434,0.11414698537368695,0.885853014626313,Good,Good
443,0.35284492136209844,0.6471550786379016,Good,Good
447,0.8100064069074865,0.18999359309251349,Bad,Bad
449,0.022570406652456576,0.9774295933475434,Good,Good
450,0.15188078309594655,0.8481192169040535,Good,Bad
459,0.428569976914262,0.571430023085738,Good,Good
468,0.3074639736408641,0.6925360263591359,Good,Good
481,0.08719350399128534,0.9128064960087147,Good,Good
484,0.06452288267029693,0.9354771173297031,Good,Good
487,0.04222546774424363,0.9577745322557564,Good,Good
491,0.06380101710714581,0.9361989828928542,Good,Good
499,0.11699285388062286,0.8830071461193771,Good,Good
501,0.8269088580818936,0.1730911419181064,Bad,Bad
506,0.040477004268993144,0.9595229957310069,Good,Bad
517,0.16524666355028494,0.834753336449715,Good,Good
522,0.3957607766951814,0.6042392233048186,Good,Bad
528,0.007724884688054212,0.9922751153119458,Good,Good
542,0.18683453316189091,0.8131654668381091,Good,Good
550,0.01947569153785067,0.9805243084621493,Good,Good
552,0.10607962984739083,0.8939203701526092,Good,Good
554,0.3450111728610833,0.6549888271389167,Good,Good
555,0.16673820099728764,0.8332617990027124,Good,Good
570,0.7378744594947058,0.2621255405052942,Bad,Bad
590,0.09845458704485588,0.9015454129551441,Good,Bad
593,0.17249519203967767,0.8275048079603223,Good,Good
597,0.786938429253209,0.213061570746791,Bad,Bad
598,0.43155533205594787,0.5684446679440521,Good,Bad
602,0.3331763608397099,0.6668236391602901,Good,Bad
610,0.037519259050505016,0.962480740949495,Good,Good
615,0.07454411315538201,0.925455886844618,Good,Bad
624,0.7667313230894203,0.2332686769105797,Bad,Good
625,0.40056110085115926,0.5994388991488407,Good,Bad
626,0.06023506485225305,0.939764935147747,Good,Good
632,0.7210317974957507,0.2789682025042493,Bad,Bad
637,0.09538537631628308,0.9046146236837169,Good,Good
643,0.1598597065247247,0.8401402934752753,Good,Bad
646,0.3674944349366971,0.6325055650633029,Good,Bad
647,0.6887544981385165,0.31124550186148353,Bad,Good
649,0.34900800903156026,0.6509919909684397,Good,Bad
652,0.24346360758503394,0.7565363924149661,Good,Bad
655,0.01169226271038426,0.9883077372896157,Good,Good
656,0.716769724541237,0.28323027545876295,Bad,Good
662,0.5195410279789983,0.4804589720210018,Bad,Bad
664,0.2633491321699598,0.7366508678300402,Good,Good
665,0.0428601947095788,0.9571398052904212,Good,Good
671,0.05619174926466752,0.9438082507353325,Good,Good
678,0.7397717248723921,0.26022827512760793,Bad,Bad
680,0.16127350193374224,0.8387264980662578,Good,Good
681,0.1681344864171953,0.8318655135828047,Good,Good
684,0.15533609030627593,0.8446639096937241,Good,Good
689,0.0876512573555066,0.9123487426444934,Good,Good
691,0.3552751386518267,0.6447248613481733,Good,Good
693,0.36189601096866864,0.6381039890313314,Good,Good
702,0.2647542455112051,0.7352457544887949,Good,Bad
709,0.2717552668610651,0.7282447331389349,Good,Good
711,0.05300950613936306,0.9469904938606369,Good,Good
714,0.16474565171773714,0.8352543482822629,Good,Good
726,0.06692215287120262,0.9330778471287974,Good,Good
743,0.04572010102261548,0.9542798989773845,Good,Good
745,0.3007743433016137,0.6992256566983863,Good,Good
748,0.5415005505252346,0.45849944947476545,Bad,Bad
751,0.24089723787280581,0.7591027621271942,Good,Good
763,0.3962593794296667,0.6037406205703333,Good,Good
767,0.6898207157207792,0.31017928427922087,Bad,Bad
