,0
0,Active
1,Active
2,Inactive
3,Active
4,Active
5,Active
6,Active
7,Active
8,Active
9,Active
10,Inactive
11,Inactive
12,Active
13,Active
14,Active
15,Inactive
16,Active
17,Active
18,Active
19,Active
20,Active
21,Active
22,Active
23,Active
24,Active
25,Active
26,Active
27,Inactive
28,Active
29,Active
30,Active
31,Active
32,Active
33,Active
34,Inactive
35,Inactive
36,Active
37,Active
38,Active
39,Active
40,Inactive
41,Inactive
42,Active
43,Active
44,Active
45,Active
46,Active
47,Active
48,Active
49,Active
50,Active
51,Active
52,Active
53,Active
54,Inactive
55,Active
56,Inactive
57,Active
58,Active
59,Active
60,Active
61,Active
62,Active
63,Active
64,Active
65,Active
66,Inactive
67,Active
68,Active
69,Inactive
70,Inactive
71,Inactive
72,Inactive
73,Inactive
74,Inactive
75,Inactive
76,Active
77,Active
78,Active
79,Active
80,Active
81,Active
82,Active
83,Inactive
84,Inactive
85,Active
86,Active
87,Active
88,Active
89,Active
90,Active
91,Active
92,Active
93,Active
94,Inactive
95,Active
96,Active
97,Active
98,Active
99,Active
100,Active
101,Inactive
102,Active
103,Inactive
104,Active
105,Active
106,Active
107,Active
108,Inactive
109,Active
110,Inactive
111,Inactive
112,Active
113,Active
114,Active
115,Active
116,Active
117,Active
118,Inactive
119,Active
120,Active
121,Active
122,Active
123,Active
124,Inactive
125,Inactive
126,Inactive
127,Inactive
128,Inactive
129,Inactive
130,Inactive
131,Inactive
132,Active
133,Active
134,Inactive
135,Active
136,Active
137,Active
138,Active
139,Active
140,Active
141,Active
142,Active
143,Inactive
144,Active
145,Active
146,Active
147,Inactive
148,Inactive
149,Active
150,Inactive
151,Inactive
152,Inactive
153,Inactive
154,Active
155,Active
156,Active
157,Inactive
158,Inactive
159,Inactive
160,Active
161,Inactive
162,Inactive
163,Inactive
164,Active
165,Active
166,Active
167,Active
168,Active
169,Inactive
170,Active
171,Active
172,Inactive
173,Active
174,Inactive
175,Inactive
176,Inactive
177,Inactive
178,Active
179,Active
180,Active
181,Active
182,Inactive
183,Active
184,Active
185,Active
186,Inactive
187,Inactive
188,Inactive
189,Inactive
190,Active
191,Active
192,Active
193,Active
194,Active
195,Active
196,Active
197,Active
198,Active
199,Active
200,Active
201,Active
202,Active
203,Active
204,Active
205,Active
206,Active
207,Active
208,Inactive
209,Inactive
210,Inactive
211,Inactive
212,Active
213,Active
214,Active
215,Active
216,Active
217,Active
218,Active
219,Active
220,Active
221,Active
222,Active
223,Active
224,Inactive
225,Inactive
226,Inactive
227,Active
228,Active
229,Inactive
230,Active
231,Active
232,Active
233,Active
234,Active
235,Active
236,Active
237,Active
238,Active
239,Active
240,Active
241,Active
242,Active
243,Active
244,Active
245,Inactive
246,Active
247,Active
248,Active
249,Inactive
250,Active
251,Active
252,Active
253,Active
254,Active
255,Active
256,Active
257,Active
258,Active
259,Active
260,Inactive
261,Active
262,Active
263,Active
264,Active
265,Active
266,Active
267,Active
268,Active
269,Active
270,Active
271,Active
272,Active
273,Active
274,Inactive
275,Inactive
276,Active
277,Active
278,Active
279,Active
280,Active
281,Inactive
282,Active
283,Active
284,Active
285,Active
286,Active
287,Inactive
288,Inactive
289,Inactive
290,Inactive
291,Inactive
292,Inactive
293,Inactive
294,Active
295,Inactive
296,Inactive
297,Inactive
298,Inactive
299,Inactive
300,Inactive
301,Active
302,Active
303,Inactive
304,Inactive
305,Inactive
306,Inactive
307,Inactive
308,Inactive
309,Inactive
310,Inactive
311,Inactive
312,Inactive
313,Inactive
314,Active
315,Inactive
316,Active
317,Active
318,Active
319,Active
320,Inactive
321,Inactive
322,Inactive
323,Inactive
324,Inactive
325,Inactive
326,Inactive
327,Inactive
328,Inactive
329,Inactive
330,Inactive
331,Inactive
332,Active
333,Inactive
334,Inactive
335,Active
336,Active
337,Inactive
338,Inactive
339,Inactive
340,Active
341,Inactive
342,Active
343,Inactive
344,Inactive
345,Inactive
346,Inactive
347,Inactive
348,Inactive
349,Inactive
350,Inactive
351,Inactive
352,Inactive
353,Inactive
354,Inactive
355,Inactive
356,Inactive
357,Inactive
358,Inactive
359,Inactive
360,Inactive
361,Inactive
362,Inactive
363,Active
364,Inactive
365,Inactive
366,Inactive
367,Inactive
368,Inactive
369,Inactive
370,Inactive
371,Inactive
372,Inactive
373,Inactive
374,Active
375,Inactive
376,Active
377,Active
378,Inactive
379,Inactive
380,Inactive
381,Active
382,Active
383,Inactive
384,Inactive
385,Inactive
386,Inactive
387,Active
388,Inactive
389,Inactive
390,Inactive
391,Inactive
392,Inactive
393,Inactive
394,Inactive
395,Active
396,Active
397,Active
398,Inactive
399,Inactive
400,Inactive
401,Inactive
402,Inactive
403,Inactive
404,Inactive
405,Inactive
406,Inactive
407,Inactive
408,Active
409,Inactive
410,Active
411,Inactive
412,Inactive
413,Active
414,Inactive
415,Inactive
416,Inactive
417,Inactive
418,Inactive
419,Active
420,Inactive
421,Inactive
422,Inactive
423,Inactive
424,Inactive
425,Active
426,Inactive
427,Inactive
428,Inactive
429,Inactive
430,Inactive
431,Inactive
432,Active
433,Inactive
434,Inactive
435,Active
436,Inactive
