,0
0,12.52
1,1.12
2,19.405
3,1.73
4,1.68
5,0.51
6,25.365
7,0.55
8,39.455
9,4.91
10,0.55
11,1.57
12,0.06
13,5.56
14,3.85
15,2.43
16,0.725
17,1.68
18,5.275
19,5.51
20,3.8
21,47.665
22,32.375
23,6.12
24,0.805
25,14.15
26,20.605
27,4.195
28,0.64
29,2.71
30,13.675
31,8.27
32,3.92
33,24.015
34,13.5325
35,3.61
36,40.855
37,19.36
38,2.37
39,5.565
40,8.18
41,45.68
42,2.46
43,4.07
44,1.225
45,14.985
46,13.765
47,1.21
48,1.55
49,7.22
50,1.765
51,5.985
52,8.98
53,20.74
54,3.93
55,3.93
56,1.8
57,2.49
58,8.385
59,1.71
60,45.765
61,4.19
62,12.905
63,20.34
64,2.74
65,9.12
66,45.065
67,28.1
68,6.935
69,1.695
70,6.4275
71,1.915
72,47.005
73,5.355
74,8.31
75,1.695
76,1.125
77,13.295
78,1.835
79,2.59
80,40.855
81,8.83
82,9.51
83,18.555
84,18.915
85,5.765
86,0.105
87,13.765
88,2.02
89,1.19
90,2.55
91,49.765
92,8.9
93,5.75
94,12.49
95,43.75
96,11.3125
97,1.08
98,2.525
99,8.62
100,0.48
101,17.61
102,4.38
103,1.775
104,1.195
105,1.705
106,0.9775
107,2.73
108,4.045
109,4.495
110,42.06
111,5.58
112,42.06
113,35.43
114,31.67
115,48.705
116,51.415
117,50.21
118,31.7075
119,15.47
120,30.57
121,48.51
122,47.105
123,48.51
124,47.105
125,5.765
126,0.865
127,0.375
128,8.585
129,19.94
130,5.525
131,12.49
132,1.74
133,0.54
134,0.775
135,0.235
136,0.82
137,1.685
138,0.565
139,0.755
140,50.51
141,55.6
142,26.3
143,37.845
144,0.56
145,0.56
146,0.455
147,7.41
148,1.7
149,12.015
150,1.09
151,0.53
152,0.52
153,0.32
154,0.75
155,4.135
156,1.195
157,1.085
158,1.155
159,0.745
160,0.705
161,0.525
162,1.545
163,39.555
164,0.795
