,Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class
1,E,997.0,137.0,20.0,0.0,14.0,Tue,F
2,E,97.0,103.0,20.0,0.0,13.816666666666666,Tue,VF
3,E,101.0,75.0,10.0,0.0,13.85,Thu,VF
4,E,93.0,76.0,20.0,0.0,10.1,Fri,VF
5,E,100.0,82.0,20.0,0.0,10.366666666666667,Fri,VF
6,E,100.0,82.0,20.0,0.0,16.533333333333335,Wed,VF
7,E,105.0,88.0,20.0,0.0,16.4,Fri,VF
8,E,98.0,95.0,20.0,0.0,16.733333333333334,Fri,VF
9,E,101.0,91.0,20.0,0.0,16.183333333333334,Fri,VF
10,E,95.0,92.0,20.0,0.0,10.783333333333333,Wed,VF
11,E,102.0,96.0,20.0,0.0,9.966666666666667,Fri,VF
12,E,108.0,104.0,10.0,0.0,11.483333333333333,Wed,VF
13,E,98.0,99.0,10.0,0.0,10.433333333333334,Fri,VF
14,E,102.0,99.0,20.0,0.0,16.75,Thu,VF
15,E,108.0,99.0,20.0,0.0,16.366666666666667,Thu,VF
16,E,128.0,111.0,20.0,0.0,16.483333333333334,Fri,VF
17,E,121.0,118.0,20.0,0.0,16.766666666666666,Fri,VF
18,E,132.0,2320.0,11.0,0.0,15.133333333333333,Fri,VF
19,E,141.0,139.0,20.0,0.0,16.266666666666666,Fri,VF
20,E,147.0,137.0,20.0,0.0,18.716666666666665,Tue,VF
21,E,147.0,72.0,20.0,0.0,4.65,Fri,VF
22,E,150.0,81.0,20.0,0.0,5.266666666666667,Fri,VF
23,E,1501.0,137.0,20.0,0.0,14.1,Tue,F
24,E,154.0,114.0,20.0,0.0,10.166666666666666,Fri,VF
25,E,149.0,111.0,20.0,0.0,10.866666666666667,Wed,VF
26,E,145.0,112.0,20.0,0.0,16.6,Wed,VF
27,E,155.0,116.0,20.0,0.0,10.433333333333334,Fri,VF
28,E,157.0,112.0,20.0,0.0,10.0,Fri,VF
29,E,154.0,76.0,20.0,0.0,20.866666666666667,Mon,VF
30,E,157.0,157.0,20.0,0.0,17.933333333333334,Tue,VF
31,E,173.0,166.0,20.0,0.0,13.816666666666666,Thu,VF
32,E,180.0,173.0,20.0,0.0,15.816666666666666,Thu,VF
