,0
0,0.93
1,0.85
2,0.81
3,0.74
4,0.61
5,0.58
6,0.57
7,0.56
8,0.52
9,0.45
10,0.4
11,0.36
12,0.22
13,0.08
14,0.07
15,0.02
16,0.0
17,-0.01
18,-0.07
19,-0.12
20,-0.17
21,-0.29
22,-0.38
23,-0.38
24,-0.39
25,-0.42
26,-0.44
27,-0.46
28,-0.48
29,-0.6
30,-0.63
31,-0.66
32,-0.72
33,-0.72
34,-0.8
35,-0.8
36,-0.82
37,-0.82
38,-0.84
39,-0.85
40,-0.85
41,-0.87
42,-0.89
43,-0.9
44,-0.96
45,-0.96
46,-0.99
47,-1.01
48,-1.09
49,-1.12
50,-1.14
51,-1.17
52,-1.19
53,-1.22
54,-1.27
55,-1.28
56,-1.32
57,-1.38
58,-1.39
59,-1.42
60,-1.47
61,-1.47
62,-1.5
63,-1.52
64,-1.54
65,-1.55
66,-1.56
67,-1.57
68,-1.6
69,-1.6
70,-1.62
71,-1.64
72,-1.67
73,-1.7
74,-1.7
75,-1.71
76,-1.71
77,-1.75
78,-1.78
79,-1.78
80,-1.82
81,-1.87
82,-1.89
83,-1.92
84,-1.92
85,-1.92
86,-1.94
87,-1.99
88,-2.0
89,-2.05
90,-2.06
91,-2.08
92,-2.1
93,-2.11
94,-2.12
95,-2.17
96,-2.21
97,-2.24
98,-2.24
99,-2.29
100,-2.31
101,-2.32
102,-2.35
103,-2.35
104,-2.36
105,-2.36
106,-2.38
107,-2.42
108,-2.43
109,-2.44
110,-2.52
111,-2.53
112,-2.57
113,-2.62
114,-2.62
115,-2.64
116,-2.64
117,-2.7
118,-2.82
119,-2.88
120,-2.89
121,-2.92
122,-2.93
123,-2.96
124,-2.98
125,-3.01
126,-3.01
127,-3.02
128,-3.07
129,-3.09
130,-3.11
131,-3.13
132,-3.14
133,-3.15
134,-3.22
135,-3.26
136,-3.27
137,-3.27
138,-3.3
139,-3.31
140,-3.33
141,-3.37
142,-3.43
143,-3.43
144,-3.48
145,-3.51
146,-3.59
147,-3.61
148,-3.63
149,-3.63
150,-3.68
151,-3.71
152,-3.74
153,-3.75
154,-3.75
155,-3.77
156,-3.77
157,-3.78
158,-3.81
159,-3.95
160,-3.96
161,-3.96
162,-4.0
163,-4.02
164,-4.04
165,-4.12
166,-4.15
167,-4.16
168,-4.17
169,-4.21
170,-4.23
171,-4.25
172,-4.3
173,-4.31
174,-4.35
175,-4.4
176,-4.4
177,-4.43
178,-4.46
179,-4.47
180,-4.51
181,-4.6
182,-4.64
183,-4.69
184,-4.71
185,-4.77
186,-4.95
187,-4.98
188,-5.21
189,-5.22
190,-5.28
191,-5.31
192,-5.35
193,-5.37
194,-5.4
195,-5.43
196,-5.65
197,-5.66
198,-6.7
199,-5.72
200,-6.0
201,-6.25
202,-6.26
203,-6.27
204,-6.35
205,-6.57
206,-6.62
207,-6.96
208,-7.02
209,-7.2
210,-7.28
211,-7.32
212,-7.39
213,-7.82
214,-8.23
215,-8.94
216,1.07
217,0.43
218,0.32
219,0.0
220,-0.4
221,-0.52
222,-0.55
223,-0.6
224,-0.62
225,-0.85
226,-0.89
227,-0.93
228,-0.96
229,-1.06
230,-1.1
231,-1.12
232,-1.15
233,-1.28
234,-1.3
235,-1.31
236,-1.35
237,-1.39
238,-1.41
239,-1.41
240,-1.42
241,-1.46
242,-1.5
243,-1.5
244,-1.52
245,-1.52
246,-1.59
247,-1.61
248,-1.63
249,-1.71
250,-1.83
251,-2.05
252,-2.06
253,-2.07
254,-2.15
255,-2.16
256,-1.99
257,-2.36
258,-2.38
259,-2.39
260,-2.46
261,-2.49
262,-2.54
263,-2.55
264,-2.63
265,-2.64
266,-2.67
267,-2.68
268,-2.77
269,-2.78
270,-2.82
271,-2.92
272,-3.03
273,-3.12
274,-3.16
275,-3.19
276,-3.54
277,-3.54
278,-3.59
279,-3.66
280,-3.68
281,-3.75
282,-3.76
283,-3.78
284,-3.8
285,-3.8
286,-3.85
287,-3.89
288,-3.95
289,-4.29
290,-4.42
291,-4.48
292,-4.48
293,-4.53
294,-4.63
295,-4.73
296,-4.84
297,-4.89
298,-4.89
299,-5.26
300,-6.09
301,-6.29
302,-6.29
303,-6.89
304,-6.96
305,-7.0
306,-7.05
307,-8.3
308,-8.66
309,-9.03
310,-10.41
311,-7.89
312,-2.32
313,0.39
314,-2.9
315,-2.47
