,0,1,2
0,60.5,22.5,16.7
1,46.0,40.1,13.5
2,71.0,8.4,20.5
3,72.8,5.9,20.7
4,58.3,25.5,15.5
5,44.0,42.7,13.7
6,44.0,42.7,13.7
7,69.3,10.6,19.3
8,61.4,19.9,17.7
9,61.4,19.9,17.7
10,41.4,46.0,12.5
11,76.6,0.9,21.2
12,72.7,2.9,21.7
13,71.4,3.5,21.5
14,69.8,4.0,21.3
15,74.5,5.2,20.2
16,73.5,5.6,20.0
17,74.1,6.3,19.2
18,67.3,7.2,20.1
19,71.8,7.8,20.2
20,72.45,7.9,19.7
21,71.6,9.2,18.7
22,69.4,9.3,18.2
23,67.9,10.2,21.5
24,65.5,12.5,17.0
25,64.6,13.5,16.7
26,65.5,13.5,16.2
27,61.4,14.6,15.8
28,61.4,14.6,15.8
29,66.2,16.3,17.5
30,67.1,18.6,11.6
31,60.5,20.9,17.2
32,60.6,21.2,17.8
33,60.6,25.1,11.0
34,57.6,26.5,11.1
35,53.5,27.8,13.2
36,56.0,29.7,14.4
37,50.3,30.4,19.2
38,52.5,31.5,16.0
39,49.5,35.2,15.2
40,49.1,35.8,15.2
41,42.2,43.8,13.3
42,40.2,48.2,11.0
43,39.5,48.5,12.0
44,39.3,49.1,13.1
45,72.5,8.2,19.3
46,70.3,11.0,19.3
47,76.6,0.9,21.2
48,74.0,3.6,21.6
49,75.1,3.9,21.2
50,69.8,4.0,21.3
51,74.6,5.1,19.6
52,73.1,5.2,20.7
53,74.5,5.2,20.2
54,73.4,5.6,20.5
55,74.2,5.6,19.5
56,73.6,6.0,20.1
57,72.5,6.4,20.9
58,72.5,6.4,20.9
59,72.7,6.4,20.4
60,72.5,6.6,20.4
61,72.5,6.6,20.4
62,71.5,6.7,21.5
63,72.6,6.8,19.6
64,72.5,6.9,20.2
65,69.1,7.0,20.5
66,72.8,7.2,19.5
67,72.7,7.2,18.9
68,72.1,7.2,20.5
69,71.6,7.7,20.7
70,71.6,7.7,20.7
71,70.8,7.7,20.8
72,72.0,8.1,19.4
73,71.2,8.4,19.7
74,70.3,8.5,21.0
75,69.5,9.6,20.1
76,68.5,9.7,21.6
77,70.5,9.7,19.2
78,67.3,10.1,20.1
79,69.3,10.1,20.5
80,69.3,10.1,20.5
81,69.4,10.9,19.1
82,69.5,10.9,19.2
83,67.0,11.0,21.8
84,69.0,11.2,19.5
85,72.9,11.2,13.7
86,66.8,11.7,19.0
87,68.6,12.7,17.8
88,71.3,13.8,12.6
89,67.3,14.0,18.6
90,66.7,15.4,17.2
91,65.9,15.5,19.2
92,65.6,15.7,18.4
93,66.2,16.4,17.4
94,65.6,16.4,18.0
95,65.0,16.4,17.4
96,64.6,17.2,19.4
97,63.3,17.4,19.2
98,64.4,17.6,18.0
99,63.6,18.2,17.2
100,63.1,18.3,19.2
101,61.7,18.8,19.5
102,62.4,20.6,17.1
103,60.3,21.5,17.6
104,58.0,23.0,18.7
105,58.7,24.9,16.0
106,56.7,26.0,16.8
107,57.9,26.1,15.3
108,56.9,27.3,15.4
109,53.5,27.8,13.2
110,56.6,28.1,15.2
111,54.9,28.7,14.3
112,53.6,28.8,18.2
113,55.5,28.9,15.2
114,55.4,29.2,15.0
115,56.0,29.7,14.4
116,50.3,30.4,19.2
117,51.6,31.5,17.1
118,51.4,32.0,16.0
119,52.9,32.2,14.1
120,51.5,34.2,14.9
121,50.3,35.1,14.0
122,49.5,35.2,15.2
123,50.6,36.2,13.4
124,49.6,36.5,13.9
125,48.6,37.8,13.8
126,43.9,44.7,12.1
