,0
0,Class2
1,Class2
2,Class2
3,Class2
4,Class2
5,Class2
6,Class2
7,Class2
8,Class2
9,Class2
10,Class2
11,Class2
12,Class2
13,Class2
14,Class2
15,Class2
16,Class2
17,Class2
18,Class2
19,Class2
20,Class2
21,Class2
22,Class2
23,Class2
24,Class2
25,Class2
26,Class2
27,Class2
28,Class2
29,Class2
30,Class2
31,Class2
32,Class2
33,Class2
34,Class2
35,Class2
36,Class2
37,Class2
38,Class2
39,Class2
40,Class2
41,Class2
42,Class2
43,Class2
44,Class2
45,Class2
46,Class2
47,Class2
48,Class2
49,Class2
50,Class2
51,Class2
52,Class2
53,Class2
54,Class2
55,Class2
56,Class2
57,Class2
58,Class2
59,Class2
60,Class2
61,Class2
62,Class2
63,Class2
64,Class2
65,Class2
66,Class2
67,Class2
68,Class2
69,Class2
70,Class2
71,Class2
72,Class2
73,Class2
74,Class2
75,Class2
76,Class2
77,Class2
78,Class2
79,Class2
80,Class2
81,Class2
82,Class2
83,Class2
84,Class2
85,Class2
86,Class2
87,Class2
88,Class2
89,Class2
90,Class2
91,Class2
92,Class2
93,Class2
94,Class2
95,Class2
96,Class2
97,Class1
98,Class1
99,Class1
100,Class1
101,Class1
102,Class1
103,Class1
104,Class1
105,Class1
106,Class1
107,Class1
108,Class1
109,Class1
110,Class1
111,Class1
112,Class1
113,Class1
114,Class1
115,Class1
116,Class1
117,Class1
118,Class1
119,Class1
120,Class1
121,Class1
122,Class1
123,Class1
124,Class1
125,Class1
126,Class1
127,Class1
128,Class1
129,Class1
130,Class1
131,Class1
132,Class1
133,Class1
134,Class1
135,Class1
136,Class1
137,Class1
138,Class1
139,Class1
140,Class1
141,Class1
142,Class1
143,Class1
144,Class1
145,Class1
146,Class1
147,Class1
148,Class1
149,Class1
150,Class1
151,Class1
152,Class1
153,Class1
154,Class1
155,Class1
156,Class1
157,Class1
158,Class1
159,Class1
160,Class1
161,Class1
162,Class1
163,Class1
164,Class1
165,Class1
166,Class1
167,Class1
168,Class1
169,Class1
170,Class1
171,Class1
172,Class1
173,Class1
174,Class1
175,Class1
176,Class1
177,Class1
178,Class1
179,Class1
180,Class1
181,Class1
182,Class1
183,Class1
184,Class1
185,Class1
186,Class1
187,Class1
188,Class1
189,Class1
190,Class1
191,Class1
192,Class1
193,Class1
194,Class1
195,Class1
196,Class1
197,Class1
198,Class1
199,Class1
200,Class1
201,Class1
202,Class1
203,Class1
204,Class1
205,Class1
206,Class1
207,Class1
